,train_ind,train_acc,train_f1,train_fpr,train_fnr,train_fpr_all,train_fpr_mean,train_fpr_diff,train_fnr_all,train_fnr_mean,train_fnr_diff,test_ind,test_acc,test_f1,test_fpr,test_fnr,test_fpr_all,test_fpr_mean,test_fpr_diff,test_fnr_all,test_fnr_mean,test_fnr_diff
0,0.1238,0.9840,0.9836,0.0170,0.0151,"[0.04909560723514212, 0.08146067415730338, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13657419504688906,0.1309208843267986,"[0.0915805022156573, 0.08592057761732852, 0.11764705882352941, 0.02631578947368421, 0.012224938875305624, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.07501628855586831,0.06064683289649177,0.1505,0.9186,0.9159,0.0802,0.0827,"[0.11180124223602485, 0.20279720279720279, 0.0, 0.5, 1.0, 0.04, 0.14285714285714285], mean FPR",0.28535079827005294,0.2395358695588424,"[0.14333333333333334, 0.1169284467713787, 0.125, 0.0, 0.0, 0.05128205128205128, 0.35714285714285715, 0.125], mean FNR",0.11483583606620255,0.08134551686159765
1,0.1276,0.9835,0.9831,0.0142,0.0189,"[0.03875968992248062, 0.0702247191011236, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13297888298541552,0.12824423525733977,"[0.10930576070901034, 0.09747292418772563, 0.11764705882352941, 0.039473684210526314, 0.02689486552567237, 0.041666666666666664, 0.10810810810810811, 0.125], mean FNR",0.08319613352890486,0.06434076529465463,0.1530,0.9193,0.9157,0.0685,0.0937,"[0.09316770186335403, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.07142857142857142], mean FPR",0.2684887783024429,0.22770599943747222,"[0.16333333333333333, 0.13263525305410123, 0.125, 0.0, 0.0064516129032258064, 0.07692307692307693, 0.35714285714285715, 0.125], mean FNR",0.1233107666695743,0.07905003508165379
2,0.1235,0.9840,0.9835,0.0136,0.0186,"[0.041343669250646, 0.06460674157303371, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13247321661876144,0.1279505680426891,"[0.10487444608567208, 0.09530685920577617, 0.11764705882352941, 0.039473684210526314, 0.012224938875305624, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.07949605358028138,0.062464663581951865,0.1456,0.9193,0.9156,0.0680,0.0942,"[0.09937888198757763, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.07142857142857142], mean FPR",0.26937608974876054,0.2288029837940499,"[0.15333333333333332, 0.1343804537521815, 0.125, 0.0, 0.0, 0.05128205128205128, 0.35714285714285715, 0.125], mean FNR",0.1182673369388029,0.08189894342755225
3,0.1221,0.9811,0.9805,0.0093,0.0288,"[0.028423772609819122, 0.042134831460674156, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12657458215989703,0.12346526126384727,"[0.10782865583456426, 0.10324909747292418, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.08369908318701591,0.06537955155637817,0.1357,0.9161,0.9118,0.0670,0.1020,"[0.08074534161490683, 0.14685314685314685, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.25251406978115054,0.23151043545070604,"[0.15, 0.13787085514834205, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10935839901808488,0.0710276821159394
4,0.1221,0.9788,0.9780,0.0102,0.0328,"[0.03617571059431524, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12973923100000967,0.1263472445679554,"[0.10635155096011817, 0.10613718411552346, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.08387545590803505,0.06355947352318259,0.1291,0.9135,0.9092,0.0700,0.1041,"[0.08074534161490683, 0.15384615384615385, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.29324096193661414,0.22328010087986264,"[0.14, 0.13089005235602094, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10723579866904473,0.06838179552932731
5,0.1200,0.9810,0.9805,0.0159,0.0222,"[0.041343669250646, 0.06741573033707865, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13294138141276893,0.1276414026126841,"[0.08862629246676514, 0.08736462093862817, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.07459509094435204,0.05960297723740553,0.1332,0.9158,0.9125,0.0778,0.0911,"[0.10559006211180125, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.35714285714285715], mean FPR",0.34160253824850095,0.2638138885420431,"[0.13, 0.1169284467713787, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10424059797096447,0.06865713381607173
6,0.1200,0.9828,0.9824,0.0161,0.0184,"[0.04909560723514212, 0.07584269662921349, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13563786545887407,0.13026722027478813,"[0.0827178729689808, 0.0815884476534296, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06781330941613863,0.05799620621682766,0.1365,0.9161,0.9131,0.0812,0.0869,"[0.11180124223602485, 0.1958041958041958, 0.16666666666666666, 0.5, 1.0, 0.08, 0.35714285714285715], mean FPR",0.34448785169282065,0.263621203663746,"[0.13, 0.11518324607329843, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10402244788370443,0.0694855562039556
7,0.1200,0.9822,0.9818,0.0191,0.0164,"[0.05167958656330749, 0.08707865168539326, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13794118785626494,0.13158121329616318,"[0.07533234859675036, 0.07292418772563176, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.0658070863786351,0.05698820855643149,0.1340,0.9155,0.9130,0.0856,0.0832,"[0.12422360248447205, 0.1958041958041958, 0.16666666666666666, 0.5, 1.0, 0.08, 0.35714285714285715], mean FPR",0.346262474585456,0.2622507329024814,"[0.11, 0.10296684118673648, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.09999539727288417,0.06637425650888627
8,0.1180,0.9816,0.9811,0.0172,0.0197,"[0.041343669250646, 0.0702247191011236, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13340954620677642,0.12768556910268483,"[0.08124076809453472, 0.08086642599277978, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06753841859925164,0.05705583181520242,0.1349,0.9135,0.9105,0.0832,0.0900,"[0.11180124223602485, 0.1888111888111888, 0.16666666666666666, 0.5, 1.0, 0.08, 0.35714285714285715], mean FPR",0.3434888506938196,0.26122438326301173,"[0.12333333333333334, 0.11343804537521815, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10297096446311105,0.06764914342700432
9,0.1197,0.9781,0.9774,0.0144,0.0297,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.1249714184605794,"[0.10044313146233383, 0.10397111913357401, 0.17647058823529413, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.125], mean FNR",0.08286614534806833,0.06410295799427176,0.1299,0.9118,0.9078,0.0763,0.1010,"[0.08695652173913043, 0.15384615384615385, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.30433235501558487,0.22801141568094682,"[0.13, 0.1273996509598604, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10554949849452466,0.06748042471116517
